Place,Bib-Name,Gr,Team,Comb,,Freestyle,,Classical,
,,,,Time,,,,,
,,,,,,Rank,Time,Rank,Time
56,1053-Daniel Pelletier,11,Anoka,30:18.000,53,14:12.000,60,16:06.000
57,1065-Tyler Davis,11,Elk River,30:35.800,65,14:32.000,58,16:03.800
58,1045-Noah Christiansen,10,Coon Rapids,30:39.200,45,14:00.000,72,16:39.200
59,1076-Sam Rose,10,Champlin Park,30:41.700,76,14:55.000,51,15:46.700
60,1058-Michael Hamel,11,Osseo,30:42.400,57,14:23.000,66,16:19.400
61,1074-Blake Iverson,12,Maple Grove,30:45.500,74,14:49.000,54,15:56.500
62,1068-Caden Hartle,10,Andover,30:47.100,69,14:38.000,63,16:09.100
63,1057-Jack Foss,11,Champlin Park,30:49.100,58,14:23.000,68,16:26.100
64,1051-Matthew Morton,12,Blaine,30:51.900,51,14:09.000,74,16:42.900
65,1082-Alex Heidorn,9,Elk River,30:52.900,82,15:08.000,50,15:44.900
66,1075-Kenneth Peterson,12,Elk River,30:58.900,75,14:51.000,61,16:07.900
67,1071-Caleb Chesser,9,Coon Rapids,30:59.000,71,14:41.000,65,16:18.000
68,1069-Nick Jorgenson,11,Coon Rapids,31:00.600,68,14:38.000,67,16:22.600
69,1054-Jacob Webber,11,Andover,31:00.400,54,14:16.000,77,16:44.400
70,1062-Calvin Fiala,9,Andover,31:01.800,62,14:28.000,70,16:33.800
71,1060-Joshua Thoen,8,Coon Rapids,31:05.400,60,14:25.000,73,16:40.400
http://www.gopherstateevents.com/results/cc_rslts/cc_rslts.asp?sport=Nordic%20Ski&meet_id=457&rslts_page=overall_rslts.asp&show_indiv=n,,,,,,,,4/9
1/31/2018,,,Gopher State Events Cross-Country Results,,,,,
72,1040-Myles Gilyard,10,Coon Rapids,31:08.900,40,13:52.000,90,17:16.900
,Gopher State Events,,,,,,,
73,1070-Tim Meados,11,Andover,31:23.400,70,14:39.000,76,16:44.400
74,1063-Joseph Reshetar,10,Elk River,31:24.400,63,14:30.000,82,16:54.400
75,1077-Charile Caven,10,Maple Grove,31:34.800,77,14:56.000,71,16:38.800
76,1088-Sam Fjellman,10,Maple Grove,31:36.300,88,15:28.000,62,16:08.300
77,1081-Gideon Heroux,10,Maple Grove,31:37.500,81,15:06.000,69,16:31.500
78,1067-Simon Alexander,9,Irondale,31:41.100,67,14:33.000,85,17:08.100
79,1091-Reid Dumbauld,11,Maple Grove,31:45.300,91,15:44.000,55,16:01.300
80,1080-Cole Beattie,9,Park Center,31:54.400,80,15:04.000,81,16:50.400
81,1073-Mitchell Muniz,11,Elk River,32:08.900,73,14:47.000,92,17:21.900
82,1086-Jake Eich,11,Osseo,32:13.100,86,15:27.000,79,16:46.100
83,1089-Evan Riechers,11,Andover,32:13.900,89,15:30.000,75,16:43.900
