Place,Bib-Name,Gr,Team,Comb Time,Classical,Freestyle
1,3915-Torsten Brinkema,12,Mpls Southwest,24:26.180,1,12:59.000,2,11:27.1797
2,3916-Henry Hall,11,Mpls Southwest,24:28.620,2,13:11.000,1,11:17.6211
3,3918-Jacob Rochelle-Share,10,Mpls Southwest,25:43.510,3,13:42.000,4,12:01.5117
4,3900-Ben Perry,12,Mpls Washburn,25:54.260,4,13:47.000,5,12:07.2617
5,3917-Victor Sparks,9,Mpls Southwest,26:11.110,5,14:02.000,6,12:09.1094
6,3919-Charlie Grabow,10,Mpls Southwest,26:13.340,8,14:33.000,3,11:40.3398
7,3901-Per Alexander,10,Mpls Washburn,27:17.920,7,14:28.000,10,12:49.9219
8,3902-Will Steiner,11,Mpls Washburn,27:23.400,6,14:26.000,11,12:57.3984
9,3930-SAM KLEVEN,12,Mpls South,27:26.240,10,14:51.000,7,12:35.2383
10,3903-Zev Breen,10,Mpls Washburn,27:26.530,9,14:50.000,8,12:36.5313
11,3929-Elan Rochelle-Share,11,Mpls Southwest,28:19.240,11,15:04.000,12,13:15.2383
12,3920-William Munnich,11,Mpls Southwest,28:46.440,12,15:08.000,15,13:38.441
13,3932-NOAH ADRIANY,12,Mpls South,28:53.730,15,15:36.000,13,13:17.730
14,3924-Stas Bednarski,9,Mpls Southwest,28:59.230,19,16:15.000,9,12:44.230
15,3905-Nico Alexander,8,Mpls Washburn,29:05.720,14,15:28.000,14,13:37.719
16,3931-Ethan Peterson,10,Mpls South,29:27.540,13,15:25.000,19,14:02.5389
17,3933-Henry Neufeld,10,Mpls South,29:39.180,18,15:50.000,16,13:49.1801
18,3904-Isaac Lowenthal Walsh,10,Mpls Washburn,29:41.240,16,15:47.000,17,13:54.238
19,3906-Isaac Barnhill,11,Mpls Washburn,30:23.790,17,15:48.000,24,14:35.7889
20,3907-Owen Pederson,12,Mpls Washburn,30:44.240,20,16:31.000,21,14:13.238
21,3921-Jack Wentz,10,Mpls Southwest,31:18.140,25,17:16.000,18,14:02.141
22,3926-Simon Lynn-Klimenko,10,Mpls Southwest,31:21.980,21,17:01.000,23,14:20.980
23,3927-Henri Nguyen,10,Mpls Southwest,31:25.420,24,17:15.000,20,14:10.422
24,3908-Alex Bion,10,Mpls Washburn,31:27.460,23,17:12.000,22,14:15.4611
25,3925-Nico Borello,9,Mpls Southwest,32:23.730,22,17:05.000,29,15:18.730
26,3935-Sten Bulander,11,Mpls South,32:32.800,27,17:32.000,27,15:00.801
27,3947-Jackson Sonquist,9,Patrick Henry,32:50.300,29,18:04.000,25,14:46.301
28,3910-Jason Berry,10,Mpls Washburn,33:37.800,26,17:28.000,36,16:09.801
29,3934-Nate Gehrenbeck-Miller,11,Mpls South,33:49.220,32,18:43.000,28,15:06.219
30,3944-Quinlan Brogdon,11,Patrick Henry,33:54.520,35,18:59.000,26,14:55.520
31,3909-Emerson Roy,10,Mpls Washburn,33:58.190,28,18:03.000,34,15:55.191
32,3922-Aiden West,10,Mpls Southwest,34:00.110,31,18:35.000,30,15:25.109
33,3928-Trey Gustafson,10,Mpls Southwest,34:37.760,33,18:55.000,33,15:42.762
34,3939-Aksel Taylor,9,Mpls South,34:54.300,38,19:21.000,31,15:33.301
35,3936-Josiah Misselt,10,Mpls South,34:55.400,36,19:13.000,32,15:42.3979
36,3912-Theo Prince,9,Mpls Washburn,35:07.300,30,18:16.000,43,16:51.301
37,3911-Will Burmaster,11,Mpls Washburn,35:30.930,34,18:58.000,39,16:32.9301
38,3948-Victor Morales,9,Patrick Henry,35:33.970,39,19:32.000,35,16:01.969
39,3938-Julian Branden,10,Mpls South,36:09.490,40,19:35.000,40,16:34.488
40,3940-David Prince,9,Mpls South,36:36.810,37,19:19.000,47,17:17.809
41,3945-Bradley Hooper,11,Patrick Henry,36:59.630,44,20:34.000,38,16:25.629
42,3941-Hans Peter DeRuiter,9,Mpls South,37:05.740,42,20:20.000,42,16:45.738
43,3937-Cody West,7,Mpls South,37:06.140,45,20:44.000,37,16:22.141
44,3923-Noah Wilhite,10,Mpls Southwest,37:30.940,41,20:19.000,45,17:11.941
45,3914-Sawyer Garrison,8,Mpls Washburn,37:45.790,43,20:31.000,46,17:14.789
46,3913-Peter Anderson,10,Mpls Washburn,37:48.230,47,21:05.000,41,16:43.230
47,3942-Dominik Adriany,9,Mpls South,37:49.640,46,20:56.000,44,16:53.641
48,3946-Datelle Straub,10,Patrick Henry,42:55.790,48,25:03.000,48,17:52.789
Place,Bib-Name,Gr,Team,Comb Time,Classical,,Freestyle,,
,,,,,Rank,Time,Rank,Time,
1,3879-Kasia Bednarski,11,Mpls Southwest,27:59.320,1,14:34.000,1,13:25.321,
2,3880-Sudie Hall,10,Mpls Southwest,29:21.770,2,15:42.000,2,13:39.770,
3,3881-Lily Richmond,11,Mpls Southwest,30:33.560,4,16:30.000,3,14:03.5601,
4,3864-Etta Leugers,9,Mpls Washburn,30:42.730,3,16:14.000,6,14:28.731,
5,3882-Zoe Camp,10,Mpls Southwest,31:14.160,5,16:59.000,5,14:15.1611,
6,3883-Katy Scott,10,Mpls Southwest,31:22.400,8,17:14.000,4,14:08.3989,
7,3891-ANNA MULHERN,12,Mpls South,32:08.590,9,17:24.000,7,14:44.5911,
8,3866-Lily Song,11,Mpls Washburn,32:17.160,7,17:12.000,9,15:05.1611,
9,3865-Gillian Leugers,11,Mpls Washburn,32:17.310,6,16:59.000,10,15:18.3101,
10,3889-Ella Hoch-Robinson,8,Mpls South,33:04.810,13,18:16.000,8,14:48.8101,
11,3870-Phoebe Schwartz,10,Mpls Washburn,33:33.990,10,18:05.000,12,15:28.990,
12,3867-Gillian Bode,10,Mpls Washburn,33:34.020,11,18:09.000,11,15:25.020,
13,3869-Ella Endo,10,Mpls Washburn,33:39.410,12,18:10.000,13,15:29.4111,
http://www.gopherstateevents.com/results/cc_rslts/cc_rslts.asp?sport=Nordic%20Ski&meet_id=528&rslts_page=overall_rslts.asp&show_indiv=n,,,,,,,,,1/2
1/31/2018,,,Gopher State Events Cross-Country Results,,,,,
14,3890-Erika Peterson,8,Mpls South,34:05.540,14,18:18.000,14,15:47.540
,Gopher State Events,,,,,,,
15,3868-Anya Healy,10,Mpls Washburn,34:49.920,15,18:22.000,19,16:27.9189
16,3892-Josie Ferguson,10,Mpls South,34:57.410,16,19:03.000,16,15:54.4111
17,3885-Kate Dwyer,11,Mpls Southwest,35:38.170,17,19:49.000,15,15:49.1689
18,3884-Alison Rosengren,12,Mpls Southwest,36:32.580,21,20:26.000,17,16:06.5791
19,3871-Johanna Perry,8,Mpls Washburn,36:32.580,20,20:17.000,18,16:15.5791
20,3872-Laura Pacala,9,Mpls Washburn,36:57.360,19,20:05.000,20,16:52.360
21,3888-Clarire Romano,12,Mpls Southwest,37:11.790,18,19:56.000,23,17:15.790
22,3873-Grace Pereira,10,Mpls Washburn,37:41.840,25,20:46.000,21,16:55.841
23,3887-Maddie Lauenstein,12,Mpls Southwest,37:50.380,23,20:44.000,22,17:06.380
24,3874-Ella Mullin,12,Mpls Washburn,38:15.590,24,20:45.000,24,17:30.591
25,3886-Ava Cole,10,Mpls Southwest,39:26.440,26,21:05.000,26,18:21.438
26,3893-Eliana Storkamp,9,Mpls South,39:40.680,27,21:29.000,25,18:11.681
27,3877-Yardena Meyerhoff,12,Mpls Washburn,40:01.430,22,20:41.000,29,19:20.431
28,3876-Helen Strom,12,Mpls Washburn,41:26.810,28,22:17.000,28,19:09.810
29,3894-Emily Mulhern,10,Mpls South,41:54.940,29,22:25.000,30,19:29.938
30,3896-Izzy Willett,12,Mpls South,42:13.280,32,23:40.000,27,18:33.278
31,3875-Margaret Mullin,10,Mpls Washburn,43:15.830,30,23:14.000,32,20:01.829
32,3895-Izzy Bergman,10,Mpls South,43:18.190,31,23:35.000,31,19:43.188
33,3878-Eleanor Wheeler,9,Mpls Washburn,45:00.790,33,23:42.000,33,21:18.790
34,3898-Emily Kral,10,Patrick Henry,54:28.240,34,28:45.000,34,25:43.239
