2018 Section 4 Nordic Ski Championships: Boys Pursuit,,,,,,,,,,
,,,,,,,,,,State
Pos,No. First Name,Last Name,Team,Class,Sex,Classic,Skate,Pursuit,Pursuit Pts,Qualifier
1,301 Ryan,Mead,ForLk,12,M,14:38,13:12.0,27:50,100,Team
2,302 Matt,Bourne,MPA,11,M,14:41,13:31.0,28:12,99,Individual
3,305 Declan,Dahlberg,MPA,12,M,15:01,13:27.8,28:28,98,Individual
4,307 Andrew,Haines,ForLk,11,M,15:07,13:30.0,28:37,97,Team
5,303 Carl,Bohacek,StlWtr,12,M,14:43,14:08.6,28:52,96,Team
6,309 Ethan,Erickson,ForLk,10,M,15:18,13:38.9,28:57,95,Team
7,308 Nick,Parent,ForLk,10,M,15:12,13:51.1,29:04,94,Team
8,304 Ian,Ruh,StlWtr,11,M,14:54,14:10.2,29:04,93,Team
9,311 Caden,Albrecht,StlWtr,9,M,15:21,13:45.1,29:06,92,Team
10,313 Drew,Sampson,ForLk,9,M,15:24,13:48.4,29:12,91,Team
11,306 Ben,Wicklund,StlWtr,12,M,15:04,14:13.5,29:17,90,Team
12,315 Dan,Lee,Rosevl,11,M,15:33,13:43.9,29:17,89,Individual
13,312 Henry,Snider,MPA,10,M,15:22,14:00.5,29:23,88,Individual
14,318 Spencer,Kotys,ForLk,12,M,15:39,13:52.1,29:31,87,Team
15,310 Lars,Dewall,StlWtr,11,M,15:20,14:17.4,29:37,86,Team
16,321 Tryg,Solberg,WBLake,11,M,16:03,13:36.2,29:39,85,Individual
17,316 Brian,Olson,StlWtr,12,M,15:34,14:16.8,29:51,84,Team
18,320 Charles,Babcock,ForLk,12,M,15:56,13:55.0,29:51,83,Team
19,319 Evan,Dybvig,StlWtr,11,M,15:45,14:35.7,30:20,82,Team
20,317 Scott,Shield,WBLake,12,M,15:36,14:55.8,30:32,81,Individual
21,327 NATHAN,HOHENSHELL,MdsVw,11,M,16:38,14:46.1,31:24,80,
22,324 Justin,Blank,WBLake,12,M,16:17,15:13.1,31:30,79,
23,325 Joe,Lee,Rosevl,9,M,16:17,15:13.5,31:31,78,
24,323 Nick,Greenlund,Rosevl,10,M,16:12,15:21.1,31:33,77,
25,328 Joey,Quick,Rosevl,12,M,16:48,14:57.5,31:46,76,
26,326 Isak,Nightingale,MPA,8,M,16:29,15:29.2,31:59,75,
27,329 Aran,Koob,Rosevl,10,M,16:54,15:05.5,31:59,74,
28,322 Spenser,Brown,Irondl,12,M,16:07,16:17.9,32:25,73,
29,330 Carlos,Momsen,Irondl,10,M,17:12,15:15.6,32:28,72,
30,331 Declan,Rodefeldt,Irondl,9,M,17:14,15:28.3,32:42,71,
31,332 Eli,Pattison,SPComo,12,M,17:23,15:44.2,33:07,70,
32,333 Peter,Manolis,MPA,9,M,17:34,16:05.6,33:40,69,
33,336 Jacob,Horvath,WBLake,12,M,17:59,15:57.6,33:56,68,
34,341 Alistair,Pattison,SPComo,10,M,18:12,15:48.9,34:00,67,
35,340 Austin,Atz,Rosevl,12,M,18:10,15:53.9,34:04,66,
36,335 Antero,Sivula,SPComo,11,M,17:54,16:14.3,34:09,65,
37,334 Luigi,Viggiano,Mahtom,11,M,17:52,16:18.7,34:10,64,
38,337 Jackson,Lee,SPComo,11,M,18:06,16:18.6,34:25,63,
39,342 Tom,Perreira,WBLake,11,M,18:15,16:17.7,34:33,62,
40,338 Jeff,Sandkuhler,Irondl,11,M,18:07,16:26.7,34:33,61,
41,346 NATE,MOLLER,MdsVw,11,M,18:35,16:03.1,34:38,60,
42,343 MATT,MILLER,MdsVw,9,M,18:23,16:21.5,34:44,59,
2018 Section 4 Nordic Ski Championships: Boys Pursuit,,,,,,,,,,
,,,,,,,,,,State
Pos,No. First Name,Last Name,Team,Class,Sex,Classic Time,Skate Tm,Pursuit Tm,Pursuit Pts,Qualifier
43,339 Aneesh,Syal,MPA,11,M,18:07,16:47.0,34:54,58,
44,345 Jack,Kachel,Rosevl,11,M,18:28,16:52.2,35:20,57,
45,344 Nick,Jacobsen,SPComo,10,M,18:26,17:04.9,35:31,56,
46,347 Casey,Cunningham,WBLake,11,M,18:54,16:53.9,35:48,55,
47,348 JUSTIN,REILING,MdsVw,11,M,19:03,16:52.2,35:55,54,
48,351 Ian,Pawlenty,Tartan,11,M,19:31,17:02.3,36:34,53,
49,350 Kieran,Viggiano,Mahtom,11,M,19:25,17:12.1,36:37,52,
50,353 Gabe,Reynolds,SPComo,12,M,19:38,17:13.4,36:51,51,
51,352 Simon,Alexander,Irondl,9,M,19:35,17:32.6,37:08,50,
52,354 Kolby,Bachmeier,WBLake,9,M,19:40,17:29.2,37:09,49,
53,362 Matt,Krummel,Tartan,9,M,21:02,16:39.9,37:42,48,
54,356 JP,BRAUN,MdsVw,12,M,19:49,18:17.7,38:07,47,
55,349 Drew,Accola,Tartan,12,M,19:19,18:51.6,38:11,46,
56,361 Lucas,Carmichael-Tanaka,SPComo,12,M,20:41,17:32.0,38:13,45,
57,357 Chris,Gottwaldt,Irondl,9,M,20:06,18:13.5,38:19,44,
58,359 Cole,DeWeese,Mahtom,12,M,20:20,18:17.2,38:37,43,
59,355 PETER,GOODWIN,MdsVw,12,M,19:47,19:11.1,38:59,42,
60,360 Andy,Lyon,Tartan,11,M,20:25,18:35.5,39:00,41,
61,365 Max,Nelson,Mahtom,8,M,21:30,18:02.0,39:32,40,
62,358 Joseph,Newman,Mahtom,11,M,20:13,19:30.6,39:44,39,
63,367 Owen,Horan,Tartan,10,M,21:56,18:30.3,40:26,38,
64,363 Sam,Meyer,Tartan,11,M,21:19,19:30.7,40:50,37,
65,366 Ian,Snider,MPA,9,M,21:52,20:01.2,41:53,36,
66,368 Westin,Ericson,NSPaul,12,M,22:16,20:01.8,42:18,35,
67,364 Jacob,Martinez,LCAcad,9,M,21:30,21:14.0,42:44,34,
68,369 Samuel,Christensen,Mahtom,11,M,22:35,21:03.7,43:39,33,
DNF,314 TY,CHRISTIANSON,MdsVw,11,M,15:29,,,,
