,,Winona December Team Relays 2017,,,,,,
Race Date,,,,,,,,
"December 16, 2017",,,Overall Finish List,,,,,
,,,Default Division,,,,,
Overall*,Name,City,Bib No,Age,Gend,AG Place,,Time
1,Coon Rapids A,,553,1,F,1,1-99,20:20.2
2,Winona B,,567,1,F,2,1-99,20:44.5
3,Winona A,,498,1,F,3,1-99,21:00.3
4,Rochester A,,484,1,F,4,1-99,21:05.3
5,Red Wing A,,565,1,F,5,1-99,21:19.4
6,Rochester B,,564,1,F,6,1-99,21:57.3
7,Winona C,,810,1,F,7,1-99,21:58.1
8,Rochester C,,808,1,F,8,1-99,22:23.1
9,Rochester D,,850,1,F,9,1-99,24:38.1
10,Coon Rapids B,,743,1,F,10,1-99,24:42.5
11,Winona D,,856,1,F,11,1-99,24:59.3
12,Winona F,,860,1,F,12,1-99,25:05.0
13,Red Wing B,,746,1,F,13,1-99,26:18.6
14,Winona G,,862,1,F,14,1-99,26:20.3
15,Coon Rapids C,,815,1,F,15,1-99,26:33.3
16,Winona E,,858,1,F,16,1-99,27:08.2
17,Rochester F,,282,1,F,17,1-99,29:47.4
"18
19","Rochester G
Rochester E",,"861
857","1
1","F
F","18
19","1-99
1-99","31:19.4
32:47.3"
20,Rochester H,,863,1,F,20,1-99,34:23.4
*Overall place within gender,,,,,,,,
,,,,,,,,12/18/2017 07:26:41
,,,,1,,,,

,,Winona December Team Relays 2017,,,,,,
Race Date,,,,,,,,
"December 16, 2017",,,Overall Finish List,,,,,
,,,Default Division,,,,,
Overall*,Name,City,Bib No,Age,Gend,AG Place,,Time
1,Coon Rapids B,,109,1,M,1,1-99,16:03.4
2,Coon Rapids A,,108,1,M,2,1-99,16:35.1
3,Winona A,,105,1,M,3,1-99,16:45.1
4,Rochester B,,103,1,M,4,1-99,17:05.4
5,Red Wing B,,178,1,M,5,1-99,17:36.7
6,Rochester A,,102,1,M,6,1-99,18:13.1
7,Red Wing A,,121,1,M,7,1-99,18:26.9
8,Rochester C,,179,1,M,8,1-99,18:34.5
9,Winona B,,106,1,M,9,1-99,19:01.9
10,Winona C,,187,1,M,10,1-99,19:12.4
11,Winona D,,197,1,M,11,1-99,19:38.4
12,Coon Rapids D,,203,1,M,12,1-99,20:36.9
13,Coon Rapids C,,199,1,M,13,1-99,22:21.1
14,Coon Rapids E,,482,1,M,14,1-99,22:28.4
15,Winona H,,296,1,M,15,1-99,22:47.4
16,Winona E,,287,1,M,16,1-99,23:18.9
17,Winona F,,292,1,M,17,1-99,24:17.2
"18
19","Rochester E
Red Wing C",,"274
273","1
1","M
M","18
19","1-99
1-99","24:44.2
24:53.9"
20,Rochester D,,180,1,M,20,1-99,26:16.3
*Overall place within gender,,,,,,,,
,,,,,,,,12/17/2017 10:13:47
,,,,1,,,,

